code,word1_weight,word2_weight,word3_weight,word4_weight,word5_weight,year
507,50,43,0,0,7,2010
819,51,39,0,6,4,2010
657,100,0,0,0,0,2010
612,61,28,0,0,11,2010
624,40,50,0,0,10,2010
725,26,71,0,0,3,2010
588,45,40,0,0,15,2010
881,48,40,4,4,4,2010
619,29,53,0,4,14,2010
543,38,50,0,0,12,2010
638,0,80,20,0,0,2010
609,41,51,1,1,6,2010
555,47,47,0,2,4,2010
530,41,42,0,0,17,2010
539,37,50,3,1,9,2010
581,76,12,0,0,12,2010
547,47,37,3,13,0,2010
605,37,38,0,6,19,2010
540,0,100,0,0,0,2010
531,45,46,9,0,0,2010
789,58,24,10,4,4,2010
671,47,37,0,0,16,2010
760,0,0,0,0,0,2010
709,46,46,4,4,0,2010
526,0,100,0,0,0,2010
626,100,0,0,0,0,2010
625,37,55,0,4,4,2010
511,43,41,7,4,5,2010
549,0,0,0,0,0,2010
705,36,64,0,0,0,2010
548,64,26,4,3,3,2010
554,67,33,0,0,0,2010
627,80,20,0,0,0,2010
678,28,45,0,5,22,2010
577,53,41,4,0,2,2010
550,39,47,0,7,7,2010
810,46,54,0,0,0,2010
536,69,31,0,0,0,2010
771,0,100,0,0,0,2010
596,0,100,0,0,0,2010
662,49,46,2,1,2,2011
525,33,67,0,0,0,2011
532,39,52,1,6,2,2011
790,32,48,3,14,3,2011
644,57,43,0,0,0,2011
583,0,0,0,0,0,2011
634,41,40,13,0,6,2011
743,39,48,5,0,8,2011
524,51,41,2,1,5,2011
520,41,52,4,0,3,2011
635,50,40,4,2,4,2011
800,62,31,7,0,0,2011
512,43,47,3,2,5,2011
537,42,36,11,0,11,2011
716,51,43,2,4,0,2011
692,63,37,0,0,0,2011
821,0,80,20,0,0,2011
756,45,55,0,0,0,2011
746,60,30,10,0,0,2011
502,50,45,5,0,0,2011
630,49,45,3,2,1,2011
559,40,50,10,0,0,2011
757,36,39,2,9,14,2011
506,40,47,4,5,4,2011
736,47,47,6,0,0,2011
514,37,55,2,4,2,2011
523,40,44,6,1,9,2011
754,57,43,0,0,0,2011
767,67,33,0,0,0,2011
637,24,53,1,6,16,2011
648,48,49,3,0,0,2011
519,43,47,2,6,2,2011
564,46,51,1,0,2,2011
517,44,47,4,1,4,2011
584,33,59,4,0,4,2011
575,56,37,2,2,3,2011
759,60,40,0,0,0,2011
602,46,46,2,3,3,2011
868,39,61,0,0,0,2011
515,48,48,1,2,1,2011
598,54,46,0,0,0,2011
510,51,42,3,1,3,2011
752,37,45,2,2,14,2011
546,40,54,1,1,4,2011
604,20,70,10,0,0,2011
522,41,56,0,0,3,2011
535,48,46,2,1,3,2011
673,25,75,0,0,0,2011
600,54,20,6,6,14,2011
623,54,33,5,3,5,2011
682,32,60,0,0,8,2011
542,59,35,2,4,0,2011
751,45,44,5,2,4,2011
679,25,68,3,1,3,2011
505,37,53,3,2,5,2011
606,69,31,0,0,0,2011
676,23,74,0,0,3,2011
765,48,35,17,0,0,2011
565,29,57,0,0,14,2011
516,47,53,0,0,0,2011
801,46,35,2,2,15,2011
802,43,43,14,0,0,2011
649,37,53,2,0,8,2011
745,50,50,0,0,0,2011
724,21,70,0,0,9,2011
513,36,48,2,8,6,2011
570,47,44,0,6,3,2011
866,49,37,9,2,3,2011
571,49,39,1,5,6,2011
670,35,53,0,4,8,2011
509,59,33,0,0,8,2011
592,44,46,2,6,2,2011
798,0,0,0,0,0,2011
773,60,40,0,0,0,2011
563,40,49,5,4,2,2011
755,100,0,0,0,0,2011
658,31,63,3,0,3,2011
518,53,38,2,0,7,2011
545,36,43,0,14,7,2011
567,34,57,0,3,6,2011
647,100,0,0,0,0,2011
636,46,37,9,4,4,2011
566,49,46,3,1,1,2011
569,27,67,0,6,0,2011
533,43,48,0,4,5,2011
710,59,29,12,0,0,2011
766,0,0,0,0,0,2011
744,54,40,6,0,0,2011
618,51,37,3,3,6,2011
691,46,52,0,0,2,2011
758,67,33,0,0,0,2011
527,41,53,4,1,1,2011
718,49,45,0,0,6,2011
639,36,64,0,0,0,2011
561,38,52,1,4,5,2011
574,53,39,2,2,4,2011
734,55,45,0,0,0,2011
603,27,27,0,0,46,2011
747,84,16,0,0,0,2011
616,36,58,1,2,3,2011
557,36,59,3,1,1,2011
702,10,85,1,0,4,2011
582,63,37,0,0,0,2011
642,50,46,0,4,0,2011
643,43,57,0,0,0,2011
551,46,52,2,0,0,2011
749,67,0,33,0,0,2011
839,46,40,9,1,4,2011
541,33,60,2,1,4,2011
558,57,43,0,0,0,2011
722,36,60,0,0,4,2011
693,34,56,4,0,6,2011
803,52,36,4,4,4,2011
529,48,45,4,2,1,2011
651,30,50,20,0,0,2011
503,38,52,2,0,8,2011
669,28,59,3,4,6,2011
737,6,89,5,0,0,2011
553,38,56,6,0,0,2011
813,36,57,0,0,7,2011
640,54,42,1,2,1,2011
711,67,33,0,0,0,2011
528,47,34,6,5,8,2011
617,41,48,5,4,2,2011
613,5,95,0,0,0,2011
687,36,46,9,0,9,2011
762,64,36,0,0,0,2011
686,45,40,9,2,4,2011
628,38,62,0,0,0,2011
828,49,46,0,0,5,2011
698,43,57,0,0,0,2011
659,43,48,3,1,5,2011
622,51,36,7,1,5,2011
501,48,37,5,4,6,2011
544,54,37,0,2,7,2011
740,0,0,0,0,0,2011
633,69,31,0,0,0,2011
650,48,46,0,3,3,2011
652,20,78,1,1,0,2011
534,45,44,3,2,6,2011
631,36,64,0,0,0,2011
632,46,51,1,0,2,2011
804,47,46,0,7,0,2011
656,58,42,0,0,0,2011
597,67,33,0,0,0,2011
675,37,51,1,0,11,2011
504,54,34,5,3,4,2011
753,51,36,5,5,3,2011
508,55,42,0,1,2,2011
820,39,55,2,1,3,2011
500,19,73,3,5,0,2011
552,0,0,0,0,0,2011
521,53,39,1,1,6,2011
717,27,64,9,0,0,2011
560,42,49,3,2,4,2011
764,16,84,0,0,0,2011
811,37,63,0,0,0,2011
556,56,38,3,1,2,2011
573,40,53,1,3,3,2011
611,12,77,0,0,11,2011
538,48,41,5,3,3,2011
610,54,41,5,0,0,2011
862,43,47,5,1,4,2011
576,54,41,0,0,5,2011
770,43,41,4,0,12,2011
661,37,63,0,0,0,2011
641,46,42,4,4,4,2011
825,39,44,4,3,10,2011
807,41,44,6,4,5,2011
855,57,39,2,2,0,2011
507,41,46,5,2,6,2011
819,43,48,4,2,3,2011
657,62,23,15,0,0,2011
612,38,46,0,4,12,2011
624,25,75,0,0,0,2011
725,25,58,10,0,7,2011
588,34,60,6,0,0,2011
881,51,36,5,5,3,2011
619,29,54,3,1,13,2011
543,34,56,5,0,5,2011
638,33,67,0,0,0,2011
609,36,58,3,2,1,2011
555,54,45,0,0,1,2011
530,47,32,2,0,19,2011
539,46,37,4,4,9,2011
581,20,80,0,0,0,2011
547,46,48,0,3,3,2011
605,38,53,6,3,0,2011
540,38,58,0,0,4,2011
531,39,53,0,0,8,2011
789,34,56,2,6,2,2011
671,42,45,2,1,10,2011
760,50,50,0,0,0,2011
709,63,33,0,4,0,2011
526,54,46,0,0,0,2011
626,25,75,0,0,0,2011
625,42,48,1,6,3,2011
511,47,39,4,3,7,2011
549,37,63,0,0,0,2011
705,38,56,0,0,6,2011
548,49,38,4,1,8,2011
554,70,30,0,0,0,2011
627,50,50,0,0,0,2011
678,53,38,2,5,2,2011
577,44,37,0,3,16,2011
550,50,46,0,4,0,2011
810,43,57,0,0,0,2011
536,51,31,7,3,8,2011
771,25,37,0,0,38,2011
596,0,100,0,0,0,2011
662,37,56,3,2,2,2012
525,47,46,7,0,0,2012
532,39,55,1,3,2,2012
790,39,40,9,7,5,2012
644,30,70,0,0,0,2012
583,0,0,0,0,0,2012
634,45,39,0,16,0,2012
743,34,50,11,0,5,2012
524,49,43,2,2,4,2012
520,45,44,11,0,0,2012
635,39,43,7,3,8,2012
800,39,53,4,0,4,2012
512,44,46,2,2,6,2012
537,25,63,6,0,6,2012
716,45,49,4,1,1,2012
692,50,42,0,8,0,2012
821,50,50,0,0,0,2012
756,70,30,0,0,0,2012
746,50,50,0,0,0,2012
502,48,44,0,0,8,2012
630,43,49,0,1,7,2012
559,39,50,11,0,0,2012
757,55,21,4,4,16,2012
506,43,48,2,4,3,2012
736,65,28,0,0,7,2012
514,54,38,4,1,3,2012
523,28,66,2,0,4,2012
754,0,100,0,0,0,2012
767,100,0,0,0,0,2012
637,36,49,2,1,12,2012
648,38,49,3,6,4,2012
519,36,57,0,4,3,2012
564,38,58,0,0,4,2012
517,45,47,2,2,4,2012
584,33,56,0,0,11,2012
575,39,59,0,0,2,2012
759,0,89,11,0,0,2012
602,38,54,3,2,3,2012
868,57,36,7,0,0,2012
515,55,36,2,3,4,2012
598,14,86,0,0,0,2012
510,46,48,2,1,3,2012
752,41,39,10,8,2,2012
546,37,55,0,3,5,2012
604,42,52,0,0,6,2012
522,43,47,7,0,3,2012
535,43,51,3,2,1,2012
673,50,45,5,0,0,2012
600,77,12,0,0,11,2012
623,52,38,4,3,3,2012
682,38,51,4,0,7,2012
542,39,54,3,1,3,2012
751,29,63,3,2,3,2012
679,17,74,3,2,4,2012
505,49,42,4,1,4,2012
606,44,50,6,0,0,2012
676,21,79,0,0,0,2012
765,56,33,11,0,0,2012
565,20,80,0,0,0,2012
516,45,55,0,0,0,2012
801,41,43,2,0,14,2012
802,33,67,0,0,0,2012
649,37,63,0,0,0,2012
745,16,84,0,0,0,2012
724,27,68,1,0,4,2012
513,34,61,0,2,3,2012
570,53,45,2,0,0,2012
866,54,33,4,5,4,2012
571,43,53,0,1,3,2012
670,40,45,2,2,11,2012
509,52,45,3,0,0,2012
592,29,50,9,6,6,2012
798,0,0,0,0,0,2012
773,67,33,0,0,0,2012
563,38,56,1,1,4,2012
755,50,50,0,0,0,2012
658,40,57,0,2,1,2012
518,47,47,2,4,0,2012
545,56,34,2,0,8,2012
567,46,45,2,3,4,2012
647,29,57,14,0,0,2012
636,36,30,17,0,17,2012
566,46,45,1,2,6,2012
569,34,62,4,0,0,2012
533,44,49,2,3,2,2012
710,73,27,0,0,0,2012
766,0,0,0,0,0,2012
744,38,41,2,8,11,2012
618,51,39,4,2,4,2012
691,39,55,2,2,2,2012
758,46,36,0,0,18,2012
527,41,52,2,3,2,2012
718,43,53,1,0,3,2012
639,36,64,0,0,0,2012
561,47,40,1,5,7,2012
574,42,53,0,2,3,2012
734,67,33,0,0,0,2012
603,20,50,0,0,30,2012
747,33,67,0,0,0,2012
616,37,56,2,4,1,2012
557,44,48,0,3,5,2012
702,14,82,1,0,3,2012
582,46,50,4,0,0,2012
642,53,47,0,0,0,2012
643,43,50,0,0,7,2012
551,30,60,4,1,5,2012
749,0,0,100,0,0,2012
839,48,37,6,1,8,2012
541,38,58,1,0,3,2012
558,10,90,0,0,0,2012
722,23,64,10,0,3,2012
693,50,42,1,1,6,2012
803,49,37,4,4,6,2012
529,47,44,3,1,5,2012
651,61,39,0,0,0,2012
503,64,36,0,0,0,2012
669,34,59,2,0,5,2012
737,15,85,0,0,0,2012
553,33,67,0,0,0,2012
813,56,44,0,0,0,2012
640,46,51,0,0,3,2012
711,50,50,0,0,0,2012
528,53,29,8,4,6,2012
617,37,52,8,1,2,2012
613,4,96,0,0,0,2012
687,42,53,0,0,5,2012
762,25,75,0,0,0,2012
686,48,45,4,1,2,2012
628,17,67,16,0,0,2012
828,38,49,7,6,0,2012
698,65,28,0,0,7,2012
659,42,49,2,1,6,2012
622,54,39,2,2,3,2012
501,47,37,4,4,8,2012
544,47,41,5,5,2,2012
740,0,0,0,0,0,2012
633,58,32,5,0,5,2012
650,43,53,0,0,4,2012
652,29,67,2,1,1,2012
534,48,41,2,3,6,2012
631,20,60,10,0,10,2012
632,39,57,1,0,3,2012
804,74,26,0,0,0,2012
656,55,45,0,0,0,2012
597,33,67,0,0,0,2012
675,29,53,5,0,13,2012
504,51,37,4,4,4,2012
753,45,43,4,5,3,2012
508,51,41,5,2,1,2012
820,37,55,2,2,4,2012
500,33,62,0,2,3,2012
552,0,100,0,0,0,2012
521,50,39,1,4,6,2012
717,36,64,0,0,0,2012
560,43,47,2,3,5,2012
764,30,59,5,0,6,2012
811,44,52,0,2,2,2012
556,46,47,0,2,5,2012
573,35,52,5,5,3,2012
611,15,76,0,0,9,2012
538,44,44,4,3,5,2012
610,34,62,0,0,4,2012
862,43,49,2,4,2,2012
576,52,48,0,0,0,2012
770,37,44,5,6,8,2012
661,50,50,0,0,0,2012
641,58,33,1,3,5,2012
825,42,46,5,1,6,2012
807,39,46,5,3,7,2012
855,43,48,3,6,0,2012
507,55,43,2,0,0,2012
819,40,52,4,1,3,2012
657,67,33,0,0,0,2012
612,31,54,0,6,9,2012
624,36,60,4,0,0,2012
725,21,65,2,0,12,2012
588,41,53,2,0,4,2012
881,42,44,4,6,4,2012
619,26,61,0,0,13,2012
543,49,43,3,1,4,2012
638,67,33,0,0,0,2012
609,39,54,1,2,4,2012
555,45,46,3,4,2,2012
530,36,44,2,0,18,2012
539,45,41,2,2,10,2012
581,44,50,0,0,6,2012
547,36,61,3,0,0,2012
605,41,41,6,3,9,2012
540,39,61,0,0,0,2012
531,52,46,2,0,0,2012
789,38,46,6,6,4,2012
671,43,40,1,1,15,2012
760,50,50,0,0,0,2012
709,31,61,0,4,4,2012
526,47,47,6,0,0,2012
626,50,50,0,0,0,2012
625,45,50,1,1,3,2012
511,49,42,3,3,3,2012
549,55,45,0,0,0,2012
705,39,61,0,0,0,2012
548,55,33,3,4,5,2012
554,50,38,0,12,0,2012
627,46,45,9,0,0,2012
678,31,56,1,3,9,2012
577,40,42,0,3,15,2012
550,43,57,0,0,0,2012
810,53,47,0,0,0,2012
536,63,25,5,2,5,2012
771,43,14,29,0,14,2012
596,0,100,0,0,0,2012
662,58,28,0,7,7,2013
525,56,39,0,0,5,2013
532,41,43,5,10,1,2013
790,50,35,5,6,4,2013
644,50,50,0,0,0,2013
583,0,0,0,0,0,2013
634,25,75,0,0,0,2013
743,39,61,0,0,0,2013
524,51,39,4,2,4,2013
520,48,39,2,0,11,2013
635,45,42,2,3,8,2013
800,56,34,0,3,7,2013
512,44,47,2,4,3,2013
537,37,63,0,0,0,2013
716,57,41,1,0,1,2013
692,33,67,0,0,0,2013
821,67,33,0,0,0,2013
756,46,54,0,0,0,2013
746,58,42,0,0,0,2013
502,42,49,6,0,3,2013
630,41,48,2,2,7,2013
559,38,56,6,0,0,2013
757,39,45,9,2,5,2013
506,42,48,4,3,3,2013
736,45,49,3,0,3,2013
514,47,43,3,2,5,2013
523,37,53,5,1,4,2013
754,50,42,8,0,0,2013
767,100,0,0,0,0,2013
637,29,54,3,0,14,2013
648,35,61,1,0,3,2013
519,40,56,0,0,4,2013
564,40,57,2,0,1,2013
517,49,42,2,1,6,2013
584,27,69,4,0,0,2013
575,36,58,4,2,0,2013
759,16,84,0,0,0,2013
602,42,48,3,3,4,2013
868,50,50,0,0,0,2013
515,41,48,5,2,4,2013
598,43,57,0,0,0,2013
510,52,43,2,1,2,2013
752,44,46,4,3,3,2013
546,49,45,1,1,4,2013
604,32,50,0,0,18,2013
522,62,35,0,0,3,2013
535,45,46,5,2,2,2013
673,50,41,3,0,6,2013
600,58,37,5,0,0,2013
623,52,38,4,2,4,2013
682,36,63,0,0,1,2013
542,54,43,1,1,1,2013
751,43,48,3,3,3,2013
679,14,75,2,0,9,2013
505,38,54,2,2,4,2013
606,61,32,7,0,0,2013
676,17,81,1,0,1,2013
765,47,34,10,3,6,2013
565,50,50,0,0,0,2013
516,67,33,0,0,0,2013
801,34,60,2,2,2,2013
802,53,47,0,0,0,2013
649,42,47,9,0,2,2013
745,70,30,0,0,0,2013
724,27,67,5,0,1,2013
513,29,63,3,2,3,2013
570,51,45,0,4,0,2013
866,29,51,14,3,3,2013
571,36,44,5,3,12,2013
670,35,44,2,0,19,2013
509,31,65,2,0,2,2013
592,33,53,6,4,4,2013
798,0,0,0,0,0,2013
773,50,50,0,0,0,2013
563,37,58,2,2,1,2013
755,33,67,0,0,0,2013
658,34,64,0,1,1,2013
518,50,40,2,4,4,2013
545,42,43,5,3,7,2013
567,35,60,1,4,0,2013
647,86,14,0,0,0,2013
636,51,30,11,0,8,2013
566,45,45,4,0,6,2013
569,56,33,11,0,0,2013
533,42,49,1,6,2,2013
710,55,39,6,0,0,2013
766,0,100,0,0,0,2013
744,36,52,4,4,4,2013
618,52,38,4,3,3,2013
691,51,41,1,0,7,2013
758,18,55,0,0,27,2013
527,41,49,3,1,6,2013
718,40,57,2,0,1,2013
639,64,36,0,0,0,2013
561,59,33,0,4,4,2013
574,33,61,2,0,4,2013
734,26,74,0,0,0,2013
603,31,30,0,0,39,2013
747,67,33,0,0,0,2013
616,33,60,2,0,5,2013
557,40,55,0,0,5,2013
702,15,81,2,0,2,2013
582,30,70,0,0,0,2013
642,54,31,3,3,9,2013
643,75,25,0,0,0,2013
551,48,46,2,0,4,2013
749,50,25,25,0,0,2013
839,54,34,6,3,3,2013
541,38,55,0,3,4,2013
558,25,75,0,0,0,2013
722,35,60,0,5,0,2013
693,37,57,1,1,4,2013
803,50,35,7,4,4,2013
529,50,46,2,1,1,2013
651,61,31,0,0,8,2013
503,49,31,10,0,10,2013
669,28,61,3,2,6,2013
737,11,89,0,0,0,2013
553,45,55,0,0,0,2013
813,30,65,0,0,5,2013
640,44,47,3,2,4,2013
711,37,63,0,0,0,2013
528,51,29,9,3,8,2013
617,39,54,2,1,4,2013
613,4,96,0,0,0,2013
687,34,62,0,0,4,2013
762,53,47,0,0,0,2013
686,43,45,1,3,8,2013
628,48,33,19,0,0,2013
828,49,42,3,0,6,2013
698,43,39,3,0,15,2013
659,45,45,3,1,6,2013
622,54,38,5,2,1,2013
501,46,37,5,6,6,2013
544,53,33,6,3,5,2013
740,0,0,0,0,0,2013
633,54,31,15,0,0,2013
650,48,45,2,1,4,2013
652,33,62,2,1,2,2013
534,50,36,4,3,7,2013
631,14,58,14,0,14,2013
632,52,45,0,0,3,2013
804,40,60,0,0,0,2013
656,50,44,6,0,0,2013
597,63,37,0,0,0,2013
675,41,41,1,0,17,2013
504,53,35,3,4,5,2013
753,47,39,6,3,5,2013
508,49,43,3,2,3,2013
820,37,48,11,1,3,2013
500,35,59,0,2,4,2013
552,0,100,0,0,0,2013
521,41,50,2,1,6,2013
717,37,63,0,0,0,2013
560,42,50,3,2,3,2013
764,46,45,0,0,9,2013
811,51,41,2,2,4,2013
556,48,45,3,2,2,2013
573,43,57,0,0,0,2013
611,20,78,2,0,0,2013
538,42,51,1,3,3,2013
610,55,41,0,0,4,2013
862,45,44,3,1,7,2013
576,48,42,5,0,5,2013
770,40,45,3,4,8,2013
661,63,37,0,0,0,2013
641,46,39,7,3,5,2013
825,47,42,6,3,2,2013
807,40,43,3,2,12,2013
855,45,43,8,2,2,2013
507,56,41,1,1,1,2013
819,40,51,4,2,3,2013
657,40,60,0,0,0,2013
612,35,53,8,0,4,2013
624,27,73,0,0,0,2013
725,31,68,0,0,1,2013
588,55,45,0,0,0,2013
881,47,43,5,1,4,2013
619,30,50,2,1,17,2013
543,41,38,4,13,4,2013
638,12,88,0,0,0,2013
609,35,56,1,1,7,2013
555,32,52,5,6,5,2013
530,46,34,2,4,14,2013
539,53,33,3,2,9,2013
581,49,48,0,0,3,2013
547,37,57,2,1,3,2013
605,32,47,6,6,9,2013
540,38,53,3,0,6,2013
531,45,52,0,0,3,2013
789,38,50,4,3,5,2013
671,45,48,0,0,7,2013
760,55,36,9,0,0,2013
709,31,62,2,0,5,2013
526,54,39,7,0,0,2013
626,20,60,20,0,0,2013
625,42,42,4,7,5,2013
511,51,36,5,3,5,2013
549,43,43,7,0,7,2013
705,20,75,0,0,5,2013
548,53,32,7,2,6,2013
554,33,61,0,6,0,2013
627,59,36,5,0,0,2013
678,54,41,1,2,2,2013
577,37,48,0,4,11,2013
550,44,50,0,0,6,2013
810,30,52,12,3,3,2013
536,47,51,2,0,0,2013
771,50,40,10,0,0,2013
596,50,50,0,0,0,2013
662,40,54,6,0,0,2014
525,56,44,0,0,0,2014
532,46,43,2,3,6,2014
790,31,49,12,6,2,2014
644,62,38,0,0,0,2014
583,0,0,0,0,0,2014
634,37,49,8,3,3,2014
743,44,52,4,0,0,2014
524,46,45,5,1,3,2014
520,46,51,1,0,2,2014
635,41,43,7,4,5,2014
800,58,29,0,3,10,2014
512,42,42,7,4,5,2014
537,29,71,0,0,0,2014
716,31,53,5,7,4,2014
692,64,36,0,0,0,2014
821,40,60,0,0,0,2014
756,39,50,11,0,0,2014
746,56,33,11,0,0,2014
502,63,34,0,0,3,2014
630,52,41,1,0,6,2014
559,37,58,5,0,0,2014
757,47,41,4,4,4,2014
506,35,53,4,4,4,2014
736,55,40,3,0,2,2014
514,62,31,3,1,3,2014
523,32,65,0,2,1,2014
754,16,67,17,0,0,2014
767,33,67,0,0,0,2014
637,21,60,3,1,15,2014
648,36,52,2,7,3,2014
519,34,51,4,5,6,2014
564,33,61,5,1,0,2014
517,47,45,4,0,4,2014
584,32,68,0,0,0,2014
575,39,53,1,0,7,2014
759,43,57,0,0,0,2014
602,39,50,4,3,4,2014
868,32,58,7,0,3,2014
515,48,48,3,0,1,2014
598,27,73,0,0,0,2014
510,44,48,3,2,3,2014
752,47,43,2,4,4,2014
